Dígito,Fila,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
0,1,0.00,0.02,4.19,13.10,11.30,2.93,0.03,0.00
0,2,0.00,0.89,12.58,13.37,11.49,11.38,0.97,0.00
0,3,0.00,3.73,14.28,5.26,2.10,12.17,3.52,0.00
0,4,0.00,5.29,12.71,1.99,0.14,9.06,6.45,0.00
0,5,0.00,5.87,11.56,0.89,0.04,8.78,7.12,0.00
0,6,0.00,3.49,13.29,1.65,1.53,11.31,5.85,0.00
0,7,0.00,0.80,13.06,9.96,10.35,13.25,2.42,0.00
0,8,0.00,0.01,4.16,13.56,13.33,5.44,0.28,0.00
1,1,0.00,0.01,2.46,9.21,10.41,6.08,0.99,0.00
1,2,0.00,0.09,4.07,12.76,13.95,8.45,1.20,0.00
1,3,0.01,1.10,7.05,14.86,14.16,7.39,0.70,0.00
1,4,0.01,2.13,9.08,14.29,13.86,6.25,0.37,0.00
1,5,0.00,1.15,6.83,11.87,13.69,5.55,0.36,0.00
1,6,0.00,0.43,5.18,10.29,13.41,5.88,0.35,0.00
1,7,0.00,0.12,4.75,10.95,13.58,7.69,2.05,0.64
1,8,0.00,0.01,2.24,9.14,13.03,8.58,3.05,1.49
2,1,0.00,0.93,9.67,14.19,9.63,2.38,0.11,0.00
2,2,0.01,5.28,13.81,12.11,12.56,5.50,0.42,0.00
2,3,0.01,4.54,7.85,4.54,11.60,5.93,0.47,0.00
2,4,0.00,0.86,1.73,4.74,12.10,4.44,0.25,0.00
2,5,0.00,0.06,1.23,8.76,10.49,2.27,0.06,0.00
2,6,0.00,0.58,5.36,11.86,7.27,2.06,0.96,0.02
2,7,0.02,1.42,11.18,14.28,12.03,10.64,7.18,0.71
2,8,0.01,0.94,10.10,13.97,13.12,11.80,8.02,1.93
3,1,0.00,0.64,8.39,14.17,14.22,7.48,0.79,0.01
3,2,0.01,4.21,12.66,8.99,11.28,11.99,2.11,0.02
3,3,0.01,2.22,3.70,3.11,12.03,9.32,0.81,0.00
3,4,0.00,0.30,1.46,8.94,14.27,5.61,0.08,0.00
3,5,0.00,0.06,1.05,5.64,12.05,11.28,2.20,0.00
3,6,0.00,0.43,1.40,0.97,4.41,12.14,6.32,0.00
3,7,0.00,0.87,7.11,6.23,8.26,13.02,5.93,0.07
3,8,0.00,0.50,9.32,14.65,13.97,8.67,1.41,0.07
4,1,0.00,0.00,0.45,7.06,11.50,2.01,0.21,0.13
4,2,0.00,0.06,3.48,13.27,8.45,2.05,1.14,0.30
4,3,0.00,0.72,10.48,11.40,4.88,5.79,3.85,0.34
4,4,0.01,4.64,14.49,6.35,7.35,10.63,6.13,0.02
4,5,0.00,8.58,14.59,9.71,13.02,13.95,5.30,0.00
4,6,0.09,6.30,11.27,12.40,14.62,10.44,1.61,0.00
4,7,0.06,1.09,2.91,7.82,13.45,4.16,0.02,0.00
4,8,0.00,0.02,0.55,7.81,11.81,1.96,0.00,0.00
5,1,0.00,0.97,9.98,13.04,13.90,12.18,4.14,0.04
5,2,0.01,3.90,14.80,12.03,8.24,6.23,2.12,0.03
5,3,0.00,5.59,14.35,5.70,1.93,0.58,0.05,0.00
5,4,0.00,5.37,14.32,12.04,8.97,4.16,0.38,0.00
5,5,0.00,1.94,7.65,8.43,8.84,7.64,1.81,0.00
5,6,0.00,0.25,1.26,3.67,7.39,8.18,2.38,0.00
5,7,0.00,0.83,5.77,8.19,10.84,7.32,1.34,0.00
5,8,0.00,0.96,10.66,14.74,9.36,2.53,0.20,0.00
6,1,0.00,0.00,1.14,11.17,9.59,1.45,0.01,0.00
6,2,0.00,0.03,7.13,14.52,6.20,0.88,0.05,0.00
6,3,0.00,0.74,12.52,9.52,0.93,0.10,0.01,0.00
6,4,0.00,2.31,13.70,8.11,3.88,2.03,0.14,0.00
6,5,0.00,3.58,14.74,12.88,12.03,10.34,2.83,0.00
6,6,0.00,1.93,14.69,10.72,5.59,10.12,9.22,0.23
6,7,0.00,0.19,10.37,12.66,5.54,11.28,10.78,0.52
6,8,0.00,0.00,1.44,10.69,15.09,13.04,4.48,0.09
7,1,0.00,0.17,5.10,13.06,14.25,11.03,5.19,1.00
7,2,0.00,1.09,10.53,11.71,11.17,12.44,5.36,0.61
7,3,0.00,0.82,4.83,2.32,7.09,11.26,3.18,0.12
7,4,0.00,0.61,4.35,6.25,12.13,12.34,5.06,0.00
7,5,0.00,1.49,9.07,13.44,14.77,11.37,4.41,0.00
7,6,0.00,1.12,5.45,11.74,10.85,3.88,0.61,0.00
7,7,0.00,0.10,3.11,12.36,5.87,0.18,0.00,0.00
7,8,0.00,0.12,6.39,11.66,2.21,0.01,0.00,0.00
8,1,0.00,0.14,5.02,11.60,12.40,6.24,0.53,0.00
8,2,0.03,1.98,12.29,11.47,9.34,11.64,2.52,0.00
8,3,0.01,2.95,11.58,7.44,7.93,11.68,2.15,0.00
8,4,0.00,1.18,8.55,13.22,13.32,7.02,0.51,0.00
8,5,0.00,0.44,6.98,14.03,12.92,4.35,0.10,0.00
8,6,0.00,1.16,10.68,8.52,9.16,8.48,1.29,0.00
8,7,0.00,0.99,10.97,8.09,8.39,9.54,2.32,0.01
8,8,0.00,0.14,5.01,12.70,13.01,6.74,1.21,0.01
9,1,0.00,0.14,5.68,11.83,11.26,5.94,1.57,0.12
9,2,0.00,2.43,12.67,9.59,10.13,11.36,2.61,0.12
9,3,0.00,3.66,12.50,5.65,8.32,14.11,3.21,0.04
9,4,0.00,1.96,10.42,12.19,13.23,14.06,3.84,0.00
9,5,0.00,0.17,2.94,5.17,5.09,11.64,4.83,0.00
9,6,0.00,0.16,0.52,0.61,2.46,9.74,5.85,0.02
9,7,0.00,0.66,6.12,4.96,5.81,10.53,5.19,0.11
9,8,0.00,0.09,5.73,12.04,13.14,8.89,2.09,0.06
